Nome do Arquivo,Frase Original,Frase XTTS,Distancia XTTS,Similaridade XTTS,Quality (MOSA_NET) XTTS,Inteligibility(MOSA_NET) XTTS,Frase Your_tts,Distancia Your_tts,Similaridade Your_tts,Quality (MOSA_NET) Your_tts,Inteligibility(MOSA_NET) Your_tts
0.wav,esse tema foi falado no congresso,esse tema foi falado no congresso,0,1.0,4.65,1,sistema foi falado no congresso,4,0.94,3.93,0.99
1.wav,leila tem um lindo casaco,leila tem um lindo casaco,0,1.0,4.53,1,leila tem um lindo casaco,0,1.0,4.51,1.00
2.wav,o analfabetísmo é um problema chato,o analfabetismo é um problema chaton,2,0.96,4.57,1,analfabetismo é um problema chato,3,0.94,4.40,1.00
3.wav,o casarão foi vendido sem pressa,o casarão foi vendido sem pressa,0,1.0,4.57,1,o casarão foi vendido sem pressa,0,1.0,4.47,1.00
4.wav,agindo com união ainda rende mais,agindo comunhão ainda rende mais,2,0.95,4.48,1,agindo com união ainda rende mais,0,1.0,4.48,1.00
5.wav,recebi meu pai para almoçar,recebi meu pai para almoçar,0,1.0,4.64,1,esse sede meu pai para almoçar,7,0.81,3.99,0.99
6.wav,o trabalho é a vida do povo,o trabalho é a vida do povo,0,1.0,4.62,1,o trabalho é a vida do corvo,2,0.95,4.46,1.00
7.wav,isso se resolverá de maneira tranquila,isso se resolverá de maneira tranquila,0,1.0,4.62,1,isso se resolverá de maneira tranquila,0,1.0,4.48,1.00
8.wav,os pesquisadores não acreditam nessa história,os pesquisadores não acreditam nessa história,0,1.0,4.60,1,os pesquisadores não acreditam nessa história,0,1.0,4.40,0.99
9.wav,sei que amanhã atingiremos a meta proposta,sei que amanhã atingiremos a meta proposta,0,1.0,4.56,1,sei que amanhã atingiremos a meta proposta,0,1.0,4.47,1.00
10.wav,nosso telefone está mudo,nosso telefone está mudo,0,1.0,4.29,0.99,mostre o telefone está mudo,5,0.86,4.00,0.99
11.wav,desculpe se te chamo de velho,desculpe se te chamo de velho,0,1.0,4.53,1,desculpe se te chamo de velho,0,1.0,3.42,0.95
12.wav,queremos discutir o orçamento,queremos discutir o orçamento,0,1.0,4.58,1,queremos discutir o orçamento,0,1.0,4.58,1.00
13.wav,ela não tem fome quando sai de casa,ela não tem fome quando sai de casa,0,1.0,4.64,1,ela não tem fome quando sai de casa,0,1.0,4.42,1.00
14.wav,uma índia andava na floresta,uma índia andava na floresta,0,1.0,4.62,1,uma índia andava na floresta,0,1.0,4.51,1.00
15.wav,zeca corra bem rápido pra casa,zeca corra bem rápido para casa,1,0.98,4.53,1,seca cohab bem rápido para casa,5,0.89,4.45,1.00
16.wav,neste caso dormirei tranquilo,neste caso dormirei tranquilo,0,1.0,4.61,1,este caso dormirei tranquilo,1,0.98,4.13,0.99
17.wav,joão deu dinheiro pro seu pai comprar um jogo,joão deu dinheiro para o seu pai comprar um jogo,3,0.97,4.59,1,joão deu o dinheiro para o seu pai comprar um jogo,5,0.95,4.38,0.99
18.wav,ainda faltam seis minutos,ainda faltam 6 minutos,4,0.89,4.65,1,ainda faltam 6 minutos,4,0.89,4.64,1.00
19.wav,ela seguia discretamente,ela seguia discretamente,0,1.0,4.63,1,ela seguia discretamente,0,1.0,4.34,0.99
20.wav,eu vi logo a índia joana e o léo,eu vim logo a índia joana e o léo,1,0.98,4.57,1,eu vi logo a índia joana e o léo,0,1.0,3.69,0.98
21.wav,joão caminhou na praia calma,joão caminhão na praia calma,2,0.96,4.48,1,joão caminhou na praia calma,0,1.0,3.79,0.98
22.wav,vi zé fazer essas viagens seis vezes,vi zé fazer essas viagens seis vezes,0,1.0,4.52,1,isso é fazer essas viagens 6 vezes,9,0.86,4.54,1.00
23.wav,o atabaque do tito é coberto com pele de gato,what atabaque do tito é coberto com pele de gato,4,0.95,4.28,1,o atabaque do tito é coberto com pele de gato,0,1.0,3.79,0.98
24.wav,ele dorme num leito de palha,ele dorme num leito de palha,0,1.0,4.61,1,e dorme num leito de palha,2,0.96,4.59,1.00
25.wav,paira um ar de arara amarela no rio,firewatch arara amarela no rio,11,0.74,3.77,0.98,iron maiden era amarela no rio,12,0.77,3.09,0.92
26.wav,foi muito difícil entender a canção de natal,foi muito difícil entender a canção de natal,0,1.0,4.59,1,foi muito difícil entender a canção de natal,0,1.0,4.45,1.00
27.wav,depois do almoço te encontro pro chá,depois do almoço te encontro para o chá,3,0.96,4.57,1,depois do almoço tem encontro por chá,3,0.96,4.18,0.99
28.wav,esses são nossos timezinhos,esses são nossos chinesinhos,4,0.87,4.56,1,esses são ossos chinesinho,6,0.83,4.37,0.99
29.wav,procurei maria em casa,procurei maria em casa,0,1.0,4.54,1,o purpure em maria em casa,8,0.79,3.73,0.98
30.wav,a pesca é proibida nesse canto,a pesca é proibida nesse canto,0,1.0,4.58,1,pesca é proibida nesse canto,2,0.97,4.60,1.00
31.wav,quero te ver bem quando ele voltar de lá,quero te ver bem quando ele voltar de lá,0,1.0,4.49,1,eu te ver bem quando ele voltar de lá,4,0.94,3.81,0.98
32.wav,tenho muito orgulho de nossa gente,tenho muito orgulho de nossa gente,0,1.0,4.54,1,tenho muito orgulho de nossa gente,0,1.0,4.52,1.00
33.wav,o inspetor faz a vistoria completa,o inspetor faz a vistoria completa,0,1.0,4.50,1,o inspetor faz a vistoria completa,0,1.0,4.39,0.99
34.wav,ainda não se sabe o dia da prova,ainda não se sabe o dia da prova,0,1.0,4.60,1,ainda não se sabe o dia da prova,0,1.0,4.49,1.00
35.wav,será muito dificil conseguir que eu coma,será muito difícil conseguir que eu coma,1,0.97,4.57,1,será muito difícil conseguir que eu coma,1,0.97,4.45,1.00
36.wav,a paixão dele é a natureza,a paixão dele é a natureza,0,1.0,4.62,1,a paixão dele é a natureza,0,1.0,4.62,1.00
37.wav,você quer me dizer a data,você quer me dizer a data,0,1.0,4.49,1,você quer me dizer a data,0,1.0,4.60,1.00
38.wav,desculpe mas me atrasei no casamento,desculpe mas me atrasei no casamento,0,1.0,4.60,1,desculpe mas me atrasei no casamento,0,1.0,3.89,0.98
